snapshot_date,market,ticker,name,tech_score,tech_band,score_date,deep_dived,recommendation,total_score
2026-06-18,JP,1577.T,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,100.0,非常に強い,2026-06-18,yes,買い,100.0
2026-06-18,JP,2108.T,日本甜菜製糖,100.0,非常に強い,2026-06-18,yes,買い,75.6
2026-06-18,JP,354A.T,ｉＦｒｅｅＥＴＦ　ブルームバーグ日本株高配当５０指数,100.0,非常に強い,2026-06-18,yes,買い,100.0
2026-06-18,JP,4183.T,三井化学,100.0,非常に強い,2026-06-18,yes,買い,82.0
2026-06-18,JP,5471.T,大同特殊鋼,100.0,非常に強い,2026-06-18,yes,買い,82.0
2026-06-18,JP,5695.T,パウダーテック,100.0,非常に強い,2026-06-18,yes,買い,99.2
2026-06-18,JP,5832.T,ちゅうぎんフィナンシャルグループ,100.0,非常に強い,2026-06-18,yes,買い,97.8
2026-06-18,JP,6146.T,ディスコ,100.0,非常に強い,2026-06-18,yes,買い,79.2
2026-06-18,JP,6858.T,小野測器,100.0,非常に強い,2026-06-18,yes,買い,89.6
2026-06-18,JP,6943.T,ＮＫＫスイッチズ,100.0,非常に強い,2026-06-18,yes,買い,89.6
2026-06-18,JP,7173.T,東京きらぼしフィナンシャルグループ,100.0,非常に強い,2026-06-18,yes,買い,95.2
2026-06-18,JP,7357.T,ジオコード,100.0,非常に強い,2026-06-18,yes,買い,76.8
2026-06-18,JP,7477.T,ムラキ,100.0,非常に強い,2026-06-18,yes,買い,80.8
2026-06-18,JP,8045.T,横浜丸魚,100.0,非常に強い,2026-06-18,yes,買い,87.6
2026-06-18,JP,8338.T,筑波銀行,100.0,非常に強い,2026-06-18,yes,買い,86.0
2026-06-18,JP,8341.T,七十七銀行,100.0,非常に強い,2026-06-18,yes,買い,94.0
2026-06-18,JP,8524.T,北洋銀行,100.0,非常に強い,2026-06-18,yes,買い,86.0
2026-06-18,JP,8601.T,大和証券グループ本社,100.0,非常に強い,2026-06-18,yes,買い,98.8
2026-06-18,JP,8604.T,野村ホールディングス,100.0,非常に強い,2026-06-18,yes,買い,87.6
2026-06-18,JP,8630.T,ＳＯＭＰＯホールディングス,100.0,非常に強い,2026-06-18,yes,買い,95.6
2026-06-18,JP,8697.T,日本取引所グループ,100.0,非常に強い,2026-06-18,yes,買い,100.0
2026-06-18,JP,9247.T,ＴＲＥホールディングス,100.0,非常に強い,2026-06-18,yes,買い,94.4
2026-06-18,JP,9731.T,白洋舎,100.0,非常に強い,2026-06-18,yes,買い,94.8
2026-06-18,US,ALGT,Allegiant Travel Company - Common Stock,100.0,非常に強い,2026-06-18,yes,買い,80.8
2026-06-18,US,APH,Amphenol Corporation Common Stock,100.0,非常に強い,2026-06-18,yes,買い,92.4
2026-06-18,US,BAP,Credicorp Ltd. Common Stock,100.0,非常に強い,2026-06-18,yes,買い,100.0
2026-06-18,US,BDL,"Flanigan's Enterprises, Inc. Common Stock",100.0,非常に強い,2026-06-18,yes,買い,89.6
2026-06-18,US,BKHAU,Black Hawk Acquisition Corporation - Units,100.0,非常に強い,2026-06-18,yes,買い,76.8
2026-06-18,US,CLWT,Euro Tech Holdings Company Limited - Ordinary Shares,100.0,非常に強い,2026-06-18,yes,買い,70.4
